Product Name,Category,Sell Price,Condition,Language,Add Qty,Finish,ASIN,TCG Player Name, TCG Player ID
"Vishgraz, the Doomhive - Extended Art",Commander: Phyrexia: All Will Be One,1.92,Near Mint,English,1,Normal,,"Vishgraz, the Doomhive (Extended Art)",478743
Nightscape Familiar,Planeshift,0.62,Near Mint,English,1,Normal,B005OV814C,Nightscape Familiar,7840
Earthquake,Portal Second Age,13.52,Near Mint,English,1,Normal,B0062DPCLG,Earthquake,128
Sphinx's Revelation,Ravnica Allegiance Guild Kits,1.3,Near Mint,English,1,Normal,B07P67P5BP,Sphinx's Revelation,184811
Wilderness Reclamation,Ravnica Allegiance,1.44,Near Mint,English,1,Normal,B07MMHK2MG,Wilderness Reclamation,182965
Massacre Girl - Retro Frame,Ravnica Remastered,0.59,Near Mint,English,1,Normal,,Massacre Girl (Retro Frame),517683
Lightning Helix,Ravnica: City of Guilds,0.77,Near Mint,English,2,Normal,B003M6344S,Lightning Helix,13342
Golgari Charm,Return to Ravnica,0.84,Near Mint,English,2,Normal,B009DOXJNO,Golgari Charm,66662
Hover Barrier,Return to Ravnica,0.41,Near Mint,English,1,Normal,B009DOXOCA,Hover Barrier,66573
Animate Wall,Revised Edition,0.61,Near Mint,English,1,Normal,B0062DPSWY,Animate Wall,1332
Black Vise,Revised Edition,0.92,Near Mint,English,2,Normal,B005OVGXKG,Black Vise,1346
Blessing,Revised Edition,1.46,Near Mint,English,1,Normal,B0062DPXAG,Blessing,1348
Blue Elemental Blast,Revised Edition,0.98,Near Mint,English,2,Normal,B005OVGY7S,Blue Elemental Blast,1349
Bottle of Suleiman,Revised Edition,0.52,Near Mint,English,1,Normal,B0062DPY6E,Bottle of Suleiman,1352
Clone,Revised Edition,1.75,Near Mint,English,1,Normal,B0062DQ1YI,Clone,1366
Dark Ritual,Revised Edition,1.63,Near Mint,English,3,Normal,B005OVH5YE,Dark Ritual,1381
Darkpact,Revised Edition,1.23,Near Mint,English,1,Normal,B0062DQ7CE,Darkpact,1382
Disenchant,Revised Edition,0.24,Near Mint,English,1,Normal,B005OVH83M,Disenchant,1391
Eye for an Eye,Revised Edition,1.18,Near Mint,English,1,Normal,B0062DQHWY,Eye for an Eye,1410
Farmstead,Revised Edition,0.98,Near Mint,English,2,Normal,B0062DQI5U,Farmstead,1411
Forest (Rocks),Revised Edition,0.24,Near Mint,English,3,Normal,B00A6CVS7G,Forest (A),1423
Forest (Path),Revised Edition,0.49,Near Mint,English,3,Normal,B005OVHE4U,Forest (B),18548
Forest (Eyes),Revised Edition,0.36,Near Mint,English,1,Normal,B00A6CVTFM,Forest (C),18547
Fungusaur,Revised Edition,0.49,Near Mint,English,1,Normal,B0062DQP08,Fungusaur,1428
Hurkyl's Recall,Revised Edition,1.8,Near Mint,English,1,Normal,B0062DQVYI,Hurkyl's Recall,1448
Island (Purple),Revised Edition,0.37,Near Mint,English,1,Normal,B00A6CVUDS,Island (A),1455
Island (Green),Revised Edition,0.43,Near Mint,English,2,Normal,B00A6CVVL4,Island (B),18549
Llanowar Elves,Revised Edition,0.85,Near Mint,English,2,Normal,B005OVHSM8,Llanowar Elves,1483
Lord of the Pit,Revised Edition,2.97,Near Mint,English,2,Normal,B0062DRA4S,Lord of the Pit,1485
Lure,Revised Edition,0.52,Near Mint,English,1,Normal,B0062DRAIO,Lure,1486
Mountain (Slate),Revised Edition,0.35,Near Mint,English,1,Normal,B00A6CVXRG,Mountain (A),1502
Mountain (Dirt),Revised Edition,0.35,Near Mint,English,3,Normal,B005OVHVEI,Mountain (C),18552
Northern Paladin,Revised Edition,1.16,Near Mint,English,1,Normal,B0062DRIP4,Northern Paladin,1509
Personal Incarnation,Revised Edition,1.04,Near Mint,English,1,Normal,B0062DRLBA,Personal Incarnation,1517
Plains (No Trees),Revised Edition,0.44,Near Mint,English,5,Normal,B00A6CVYXO,Plains (A),1524
Plains (Trees),Revised Edition,0.4,Near Mint,English,4,Normal,B005OVI00W,Plains (B),18553
Plains (No Mountains),Revised Edition,0.36,Near Mint,English,2,Normal,B00A6CW08W,Plains (C),18554
Righteousness,Revised Edition,1.18,Near Mint,English,2,Normal,B0062DRWBY,Righteousness,1544
Sacrifice,Revised Edition,3.55,Near Mint,English,4,Normal,B005OVI4SK,Sacrifice,1550
Savannah Lions,Revised Edition,5.04,Near Mint,English,1,Normal,B0062DRZR0,Savannah Lions,1553
Sengir Vampire,Revised Edition,1.24,Near Mint,English,2,Normal,B003FUU5VG,Sengir Vampire,1560
Sleight of Mind,Revised Edition,0.53,Near Mint,English,1,Normal,B0062DS7X6,Sleight of Mind,1569
Swamp (Two Branches),Revised Edition,0.71,Near Mint,English,2,Normal,B00A6CW1UY,Swamp (C),18555
The Rack,Revised Edition,0.86,Near Mint,English,1,Normal,B005OVICZU,The Rack,1588
Veteran Bodyguard,Revised Edition,1.81,Near Mint,English,1,Normal,B0062DOWOE,Veteran Bodyguard,1606
White Knight,Revised Edition,0.5,Near Mint,English,2,Normal,B005OVIJ3U,White Knight,1625
Lord of Shatterskull Pass,Rise of the Eldrazi,0.7,Near Mint,English,1,Normal,B003INBPTG,Lord of Shatterskull Pass,34850
Swamp,Rivals of Ixalan,0.51,Near Mint,English,1,Normal,B078TRC1Z5,Swamp,155766
Thoughts of Ruin,Saviors of Kamigawa,0.9,Near Mint,English,1,Normal,B0062E013Y,Thoughts of Ruin,12550
Galvanic Blast,Scars of Mirrodin,1.25,Near Mint,English,1,Normal,B0062E20JC,Galvanic Blast,36340
Kuldotha Rebirth,Scars of Mirrodin,1.45,Near Mint,English,2,Normal,B0045AMOPU,Kuldotha Rebirth,36475
Palladium Myr,Scars of Mirrodin,0.56,Near Mint,English,1,Normal,B0045H4U7S,Palladium Myr,36240
Mana Clash,Seventh Edition,0.66,Near Mint,English,2,Normal,B0062DY0FK,Mana Clash,2983
Swamp (348),Seventh Edition,0.62,Near Mint,English,1,Normal,B00A6GB9YO,Swamp (348),18335
Guttural Response,Shadowmoor,1.33,Near Mint,English,2,Normal,B005OVF0MI,Guttural Response,18658
Island (287),Shadowmoor,0.46,Near Mint,English,2,Normal,B00HZRZNVC,Island (287),18678
Kitchen Finks,Shadowmoor,0.52,Near Mint,English,1,Normal,B005OVF7VM,Kitchen Finks,18683
Duskwatch Recruiter // Krallenhorde Howler,Shadows Over Innistrad,0.51,Near Mint,English,2,Normal,B01CUQKAFG,Duskwatch Recruiter,116489
